timestamp,temperature[degC],humidity[%],co2[ppm],pm1.0[ug/m^3],pm2.5[ug/m^3],pm10.0[ug/m^3],pressure[Pa],latitude[deg],longitude[deg],altitude[m]
01/03/2018 18:49:23,24.41,8.06,548,1,1,1,97821.6,---,---,295.9
01/03/2018 18:50:22,24.53,8.04,526.5,0.8,1.2,1.3,97823,---,---,295.4
01/03/2018 18:51:22,24.76,7.99,509.3,1.1,1.6,1.7,97828.2,---,---,295.4
01/03/2018 18:53:23,25.04,7.98,524.1,1.2,1.8,1.9,97830.2,---,---,295.1
01/03/2018 18:54:24,25.15,7.51,502.1,1.2,1.6,1.7,97828.5,---,---,295.1
01/03/2018 18:55:25,25.23,7.24,481.3,1,1.7,1.9,97827.5,---,---,295.2
01/03/2018 18:56:25,25.29,7.27,475.2,0.6,1.1,1.3,97829.5,---,---,294.9
01/03/2018 18:57:26,25.37,7.22,482.3,0.7,1.1,1.4,97830.6,---,---,294.9
01/03/2018 19:00:27,25.48,7.33,486.3,0.8,1.3,1.4,97835.9,---,---,294.8
01/03/2018 19:02:27,25.59,7.34,491.3,0.8,1.3,1.3,97834.7,---,---,294.9
01/03/2018 19:03:26,25.65,7.5,488.8,0.7,1.1,1.2,97830.2,---,---,295.2
01/03/2018 19:04:28,25.68,7.3,492.6,0.8,1.1,1.3,97825.6,---,---,295.7
01/03/2018 19:05:27,25.73,7.19,490.2,0.8,1,1,97824.9,---,---,295.8
01/03/2018 19:06:29,25.74,7.2,490.3,0.8,1,1.1,97824.9,---,---,295.7
01/03/2018 19:07:28,25.79,7.32,494.5,0.7,1,1.4,97823.2,---,---,295.8
01/03/2018 19:08:30,25.82,7.38,498.8,0.8,1.1,1.2,97822.5,---,---,295.5
01/03/2018 19:09:29,25.84,7.24,497.8,0.7,1.1,1.2,97822.6,---,---,295.9
01/03/2018 19:10:29,25.88,7.42,498.4,0.8,1.1,1.1,97822,---,---,296
01/03/2018 19:11:29,25.91,7.22,499.5,0.7,1,1,97822.1,---,---,295.8
01/03/2018 19:12:30,25.95,7.06,498.3,0.7,1.1,1.1,97825.3,---,---,295.1
01/03/2018 19:13:30,25.98,7.05,496.6,0.8,1.2,1.3,97828.8,---,---,295
01/03/2018 19:14:30,25.99,7.13,494.6,0.9,1.2,1.3,97831.8,---,---,294.9
01/03/2018 19:15:30,26.02,6.97,492.3,0.7,1,1.2,97831.7,---,---,294.8
01/03/2018 19:16:30,26.05,7.19,490.1,0.4,0.7,0.8,97836.3,---,---,294.2
01/03/2018 19:17:30,26.07,7.07,492.8,0.7,1,1,97840.4,---,---,294.1
01/03/2018 19:18:30,26.08,7.11,494.1,0.8,1,1,97843.2,---,---,293.9
01/03/2018 19:19:30,26.11,7.04,493.8,0.6,1,1.4,97846.2,---,---,293.6
01/03/2018 19:20:31,26.13,7.09,494.1,0.6,0.7,0.7,97846.4,---,---,293.5
01/03/2018 19:21:31,26.15,7.08,495.7,0.9,1.1,1.6,97850.4,---,---,293.1
01/03/2018 19:22:31,26.19,7.03,495.5,0.7,0.8,1,97853,---,---,293.2
01/03/2018 19:23:32,26.2,6.96,493.4,0.8,0.8,1.1,97854.6,---,---,293.1
01/03/2018 19:24:32,26.2,6.87,489.3,0.7,1,1,97856.4,---,---,292.9
01/03/2018 19:25:40,26.2,6.83,487.6,0.7,1,1,97856.9,---,---,292.6
01/03/2018 19:26:39,26.2,6.95,481.3,0.5,0.8,1.1,97855.3,---,---,293
01/03/2018 19:27:39,26.2,6.86,483.4,0.8,1,1,97852.4,---,---,293.7
01/03/2018 19:28:40,26.2,6.95,482.5,0.8,1,1.2,97849.8,---,---,292.9
01/03/2018 19:29:41,26.2,6.92,484.4,0.6,0.8,0.8,97849.5,---,---,293.4
01/03/2018 19:30:43,26.2,6.9,484.4,0.7,0.8,0.9,97848.9,---,---,293.8
01/03/2018 19:31:43,26.2,6.85,482.3,1,1.3,1.6,97849.4,---,---,293.2
01/03/2018 19:32:43,26.2,6.97,483,0.8,1.2,1.3,97849.6,---,---,293.1
01/03/2018 19:33:43,26.2,7.07,487.7,0.5,0.8,0.9,97849.9,---,---,293.8
01/03/2018 19:34:43,26.2,6.93,487.3,0.5,1,1,97850.3,---,---,293.1
01/03/2018 19:35:43,26.2,6.84,487.4,0.5,0.7,0.8,97853.9,---,---,292.6
01/03/2018 19:36:43,26.2,6.79,483.6,0.8,1.1,1.1,97858.9,---,---,292.9
01/03/2018 19:37:43,26.2,6.77,478.1,0.8,1.3,1.4,97858.5,---,---,292.9
